chunk_id,document_filename,document_date,document_language,section_number,detected_script,chunk_words,compliance_flags
Универсальныи_договор_узб_25.09.2025__chunk_76,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,70,[]
Универсальныи_договор_узб_25.09.2025__chunk_77,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,10,[]
Универсальныи_договор_узб_25.09.2025__chunk_78,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Latin,19,[]
Универсальныи_договор_узб_25.09.2025__chunk_79,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,23,[]
Универсальныи_договор_узб_25.09.2025__chunk_80,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,31,[]
Универсальныи_договор_узб_25.09.2025__chunk_81,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,35,[]
Универсальныи_договор_узб_25.09.2025__chunk_82,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,23,[]
Универсальныи_договор_узб_25.09.2025__chunk_83,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,18,[]
Универсальныи_договор_узб_25.09.2025__chunk_84,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_85,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,14,[]
Универсальныи_договор_узб_25.09.2025__chunk_86,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,23,[]
Универсальныи_договор_узб_25.09.2025__chunk_87,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,22,[]
Универсальныи_договор_узб_25.09.2025__chunk_88,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,26,[]
Универсальныи_договор_узб_25.09.2025__chunk_89,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,25,[]
Универсальныи_договор_узб_25.09.2025__chunk_90,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,18,[]
Универсальныи_договор_узб_25.09.2025__chunk_91,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,26,[]
Универсальныи_договор_узб_25.09.2025__chunk_92,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,19,[]
Универсальныи_договор_узб_25.09.2025__chunk_93,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,22,[]
Универсальныи_договор_узб_25.09.2025__chunk_94,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,28,[]
Универсальныи_договор_узб_25.09.2025__chunk_95,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_96,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,17,[]
Универсальныи_договор_узб_25.09.2025__chunk_97,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,35,[]
Универсальныи_договор_узб_25.09.2025__chunk_98,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,21,[]
Универсальныи_договор_узб_25.09.2025__chunk_99,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,30,[]
Универсальныи_договор_узб_25.09.2025__chunk_100,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_101,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,36,[]
Универсальныи_договор_узб_25.09.2025__chunk_102,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,19,[]
Универсальныи_договор_узб_25.09.2025__chunk_103,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,20,[]
Универсальныи_договор_узб_25.09.2025__chunk_104,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,27,[]
Универсальныи_договор_узб_25.09.2025__chunk_105,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,35,[]
Универсальныи_договор_узб_25.09.2025__chunk_106,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,11,[]
Универсальныи_договор_узб_25.09.2025__chunk_107,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,147,[]
Универсальныи_договор_узб_25.09.2025__chunk_108,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,205,[]
Универсальныи_договор_узб_25.09.2025__chunk_109,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,12,[]
Универсальныи_договор_узб_25.09.2025__chunk_110,Универсальныи_договор_узб_25.09.2025.pdf,25.09.2025,Uzbek,unknown,Cyrillic,54,[]
